[Cycle   92] PC: 0000016c | opcode: 00 | inst_ID: 01284024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   93] PC: 00000170 | opcode: 00 | inst_ID: 01694824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   94] PC: 00000174 | opcode: 00 | inst_ID: 010b4025 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   95] PC: 00000178 | opcode: 00 | inst_ID: 014a502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   96] PC: 0000017c | opcode: 00 | inst_ID: 01284027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   97] PC: 00000180 | opcode: 00 | inst_ID: 010a502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   98] PC: 00000184 | opcode: 00 | inst_ID: 012a502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   99] PC: 00000188 | opcode: 00 | inst_ID: 0129482b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: ffffffff
[Cycle  100] PC: 0000018c | opcode: 00 | inst_ID: 016b582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  101] PC: 00000190 | opcode: 00 | inst_ID: 01495024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  102] PC: 00000194 | opcode: 00 | inst_ID: 01085827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  103] PC: 00000198 | opcode: 00 | inst_ID: 014b4023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  104] PC: 0000019c | opcode: 00 | inst_ID: 014a5026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  105] PC: 000001a0 | opcode: 00 | inst_ID: 0169402a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  106] PC: 000001a4 | opcode: 00 | inst_ID: 010b5825 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  107] PC: 000001a8 | opcode: 00 | inst_ID: 01094821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  108] PC: 000001ac | opcode: 00 | inst_ID: 01284823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  109] PC: 000001b0 | opcode: 00 | inst_ID: 01085823 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  110] PC: 000001b4 | opcode: 00 | inst_ID: 01684821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  111] PC: 000001b8 | opcode: 00 | inst_ID: 012a4826 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  112] PC: 000001bc | opcode: 00 | inst_ID: 016a502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  113] PC: 000001c0 | opcode: 00 | inst_ID: 01695023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  114] PC: 000001c4 | opcode: 00 | inst_ID: 014a5825 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  115] PC: 000001c8 | opcode: 00 | inst_ID: 0168502a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  116] PC: 000001cc | opcode: 00 | inst_ID: 010a4821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  117] PC: 000001d0 | opcode: 00 | inst_ID: 010b482a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  118] PC: 000001d4 | opcode: 00 | inst_ID: 014b5023 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  119] PC: 000001d8 | opcode: 00 | inst_ID: 0149502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  120] PC: 000001dc | opcode: 00 | inst_ID: 016a4824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  121] PC: 000001e0 | opcode: 00 | inst_ID: 01094024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  122] PC: 000001e4 | opcode: 00 | inst_ID: 014a582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  123] PC: 000001e8 | opcode: 00 | inst_ID: 01084024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  124] PC: 000001ec | opcode: 00 | inst_ID: 0168582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  125] PC: 000001f0 | opcode: 00 | inst_ID: 01485027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  126] PC: 000001f4 | opcode: 00 | inst_ID: 016b4827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  127] PC: 000001f8 | opcode: 00 | inst_ID: 010a5821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  128] PC: 000001fc | opcode: 00 | inst_ID: 010a5026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: ffffffff
[Cycle  129] PC: 00000200 | opcode: 00 | inst_ID: 014b4026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: ffffffff
[Cycle  130] PC: 00000204 | opcode: 00 | inst_ID: 01495026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: ffffffff
[Cycle  131] PC: 00000208 | opcode: 00 | inst_ID: 0129582b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: ffffffff
[Cycle  132] PC: 0000020c | opcode: 00 | inst_ID: 014b5824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  133] PC: 00000210 | opcode: 00 | inst_ID: 014a582b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  134] PC: 00000214 | opcode: 00 | inst_ID: 016a4825 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  135] PC: 00000218 | opcode: 00 | inst_ID: 016b5824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  136] PC: 0000021c | opcode: 00 | inst_ID: 0108482b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  137] PC: 00000220 | opcode: 00 | inst_ID: 01094824 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  138] PC: 00000224 | opcode: 00 | inst_ID: 016b4024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  139] PC: 00000228 | opcode: 00 | inst_ID: 0168402a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  140] PC: 0000022c | opcode: 00 | inst_ID: 01095026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  141] PC: 00000230 | opcode: 00 | inst_ID: 014a4825 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  142] PC: 00000234 | opcode: 00 | inst_ID: 01094827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  143] PC: 00000238 | opcode: 00 | inst_ID: 0109502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  144] PC: 0000023c | opcode: 00 | inst_ID: 016b4026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  145] PC: 00000240 | opcode: 00 | inst_ID: 014a4821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: ffffffff
[Cycle  146] PC: 00000244 | opcode: 00 | inst_ID: 010b5821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000001
[Cycle  147] PC: 00000248 | opcode: 00 | inst_ID: 01695821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle  148] PC: 0000024c | opcode: 00 | inst_ID: 0108482b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000002
[Cycle  149] PC: 00000250 | opcode: 00 | inst_ID: 01485026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle  150] PC: 00000254 | opcode: 00 | inst_ID: 016a4027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000002
[Cycle  151] PC: 00000258 | opcode: 00 | inst_ID: 016a5024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle  152] PC: 0000025c | opcode: 00 | inst_ID: 014a5026 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000001
[Cycle  153] PC: 00000260 | opcode: 00 | inst_ID: 016b482b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: fffffffc
[Cycle  154] PC: 00000264 | opcode: 00 | inst_ID: 016a4024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle  155] PC: 00000268 | opcode: 00 | inst_ID: 01684827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
